"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"117","30","1","2","2","3","3","58814","0"
"117","31","1","2","2","3","3","58815","0"
"117","32","1","2","2","3","3","58816","0"
"86","150","1","2","2","3","3","58817","0"
"117","33","1","2","2","3","3","58818","0"
"86","151","1","2","2","3","3","58819","0"
"86","152","1","2","2","3","3","58820","0"
"86","153","1","2","2","3","3","58821","0"
"117","34","1","2","2","3","3","58822","0"
"117","35","1","2","2","3","3","58823","0"
"86","154","1","2","2","3","3","58824","0"
"117","36","1","2","2","3","3","58825","0"
"86","155","1","2","2","3","3","58826","0"
"86","156","1","2","2","3","3","58827","0"
"117","37","1","2","2","3","3","58828","0"
"86","157","1","2","2","3","3","58829","0"
"117","38","1","2","2","3","3","58830","0"
"86","158","1","2","2","3","3","58831","0"
"117","39","1","2","2","3","3","58832","0"
"117","40","1","2","2","3","3","58833","0"
"117","41","1","2","2","3","3","58834","0"
"117","42","1","2","2","3","3","58835","0"
"117","43","1","2","2","3","3","58836","0"
"117","44","1","2","2","3","3","58837","0"
"117","45","1","2","2","3","3","58838","0"
"99","81","1","2","2","3","3","58839","0"
"117","46","1","2","2","3","3","58840","0"
"117","47","1","2","2","3","3","58841","0"
"117","48","1","2","2","3","3","58842","0"
"99","82","2","1","2","3","3","58843","0"
"117","49","1","2","2","3","3","58844","0"
"99","83","1","2","2","3","3","58845","0"
"117","50","1","2","2","3","3","58846","0"
"117","51","1","2","2","3","3","58847","0"
"117","52","1","2","2","3","3","58848","0"
"99","84","2","2","2","3","3","58849","0"
"99","84","2","2","2","3","3","58850","0"
"117","53","1","2","2","3","3","58851","0"
"99","84","2","2","2","3","3","58852","0"
"99","85","1","2","2","3","3","58853","0"
"99","85","1","2","2","3","3","58854","0"
"86","158","1","2","2","3","3","58855","0"
"86","158","1","2","2","3","3","58856","0"
"99","86","1","2","2","3","3","58857","0"
"99","87","1","2","2","3","3","58858","0"
"117","53","1","2","2","3","3","58859","0"
"86","158","1","2","2","3","3","58860","0"
"117","54","1","2","2","3","3","58861","0"
"86","158","1","2","2","3","3","58862","0"
"86","158","1","2","2","3","3","58863","0"
"86","158","1","2","2","3","3","58864","0"
"86","158","1","2","2","3","3","58865","0"
"86","158","1","2","2","3","3","58866","0"
"117","55","1","2","2","3","3","58867","0"
"86","158","1","2","2","3","3","58868","0"
"99","88","2","2","2","3","3","58869","0"
"117","56","1","2","2","3","3","58870","0"
"86","158","1","2","2","3","3","58871","0"
"99","88","2","2","2","3","3","58872","0"
"117","57","1","2","2","3","3","58873","0"
"86","158","5","2","2","2","2","58874","100"
"117","58","1","2","2","3","3","58875","0"
"117","59","1","2","2","3","3","58876","0"
"117","60","1","2","2","3","3","58877","0"
"99","89","3","2","2","1","1","58878","0"
"86","158","1","2","2","3","3","58879","0"
"99","90","1","2","2","3","3","58880","0"
"117","61","1","2","2","3","3","58881","0"
"86","158","5","2","2","2","2","58882","65"
"117","62","1","2","2","3","3","58883","0"
"117","63","1","2","2","3","3","58884","0"
"86","158","1","2","2","3","3","58885","0"
"99","91","2","2","2","3","3","58886","0"
"99","92","1","2","2","3","3","58887","0"
"86","158","1","2","2","3","3","58888","0"
"99","93","1","2","2","3","3","58889","0"
"86","158","1","2","2","3","3","58890","0"
"86","158","1","2","2","3","3","58891","0"
"86","158","2","2","2","2","2","58892","65"
"99","93","1","2","2","3","3","58893","0"
"99","93","1","2","2","3","3","58894","0"
"99","93","1","2","2","3","3","58895","0"
"86","158","5","2","2","2","2","58896","100"
"99","93","1","2","2","3","3","58897","0"
"86","158","1","2","2","3","3","58898","65"
"86","158","5","2","2","2","2","58899","65"
"99","94","4","1","2","2","2","58900","0"
"99","95","4","1","2","1","3","58901","0"
"99","96","3","1","2","3","3","58902","0"
"86","159","1","2","2","3","3","58903","0"
"99","97","3","2","2","3","3","58904","0"
"86","160","1","2","2","3","3","58905","0"
"86","161","1","2","2","3","3","58906","0"
"86","162","1","2","2","3","3","58907","0"
"117","63","1","2","2","3","3","58908","0"
"117","63","1","2","2","3","3","58909","0"
"86","163","1","2","2","3","3","58910","0"
"117","63","1","2","2","3","3","58911","0"
"86","164","1","2","2","3","3","58912","0"
"86","165","1","2","2","3","3","58913","0"
"86","166","1","2","2","3","3","58914","0"
"86","167","1","2","2","3","3","58915","0"
"86","168","1","2","2","3","3","58916","0"
"86","169","1","2","2","3","3","58917","0"
"86","170","1","2","2","3","3","58918","0"
"86","171","1","2","2","3","3","58919","0"
"86","172","1","2","2","3","3","58920","0"
"86","173","1","2","2","3","3","58921","0"
"99","97","3","2","2","3","3","58922","0"
"99","97","3","2","2","3","3","58923","0"
"99","98","3","1","2","2","2","58924","0"
"117","63","1","2","2","3","3","58925","0"
"117","63","1","2","2","3","3","58926","0"
"117","63","1","2","2","3","3","58927","0"
"117","63","1","2","2","3","3","58928","0"
"99","100","5","1","1","2","2","58929","0"
"99","101","4","1","2","2","2","58930","0"
"99","102","3","1","1","3","3","58931","0"
"99","103","4","1","1","2","2","58932","0"
"86","173","1","2","2","3","3","58933","0"
"86","174","1","2","2","3","3","58934","0"
"99","104","3","1","2","2","2","58935","0"
"86","175","1","2","2","3","3","58936","0"
"86","176","1","2","2","3","3","58937","0"
"99","105","4","1","1","2","2","58938","0"
"99","106","4","1","2","2","2","58939","0"
"99","107","3","2","2","1","1","58940","0"
"99","108","5","1","2","2","2","58941","0"
"99","109","1","2","2","3","3","58942","0"
"99","110","2","2","2","2","3","58943","0"
"99","111","3","1","1","1","3","58944","0"
"99","112","5","1","1","2","2","58945","0"
"99","113","4","1","1","2","2","58946","0"
"99","113","4","1","1","2","2","58947","0"
"99","113","4","1","1","2","2","58948","0"
"99","114","3","1","2","3","3","58949","0"
"99","115","3","2","2","3","3","58950","0"
"99","115","3","2","2","3","3","58951","0"
"99","115","3","2","2","3","3","58952","0"
"99","115","3","2","2","3","3","58953","0"
"99","115","3","2","2","3","3","58954","0"
"99","115","3","2","2","3","3","58955","0"
"99","116","4","1","1","2","2","58956","0"
"99","117","5","1","1","2","2","58957","0"
"99","117","5","1","1","2","2","58958","0"
"99","118","4","1","2","2","2","58959","0"
"99","118","4","1","2","2","2","58960","0"
"99","119","4","1","1","2","2","58961","0"
"99","120","4","2","2","3","3","58962","0"
"99","120","4","2","2","3","3","58963","0"
"99","120","4","2","2","3","3","58964","0"
"99","121","1","2","2","3","3","58965","0"
"99","122","4","1","2","2","2","58966","0"
"99","123","4","1","2","1","1","58967","0"
"117","64","1","2","2","3","3","58968","0"
"99","124","1","2","2","3","3","58969","0"
"117","65","2","2","2","3","3","58970","0"
"99","125","1","2","2","3","3","58971","0"
"99","126","1","2","2","3","3","58972","0"
"117","66","1","2","2","3","3","58973","0"
"99","126","1","2","2","3","3","58974","0"
"117","67","1","2","2","3","3","58975","0"
"117","68","1","2","2","3","3","58976","0"
"117","69","1","2","2","3","3","58977","0"
"99","127","1","2","2","3","3","58978","0"
"99","128","1","2","2","3","3","58979","0"
"117","70","1","2","2","3","3","58980","0"
"117","71","1","2","2","3","3","58981","0"
"99","129","1","2","2","3","3","58982","0"
"117","71","1","2","2","3","3","58983","0"
"117","72","1","2","2","3","3","58984","0"
"117","73","1","2","2","3","3","58985","0"
"99","130","2","2","2","2","3","58986","0"
"117","74","1","2","2","3","3","58987","0"
"117","75","1","2","2","3","3","58988","0"
"99","131","1","2","2","3","3","58989","0"
"99","132","1","2","2","3","3","58990","0"
"99","133","1","2","2","3","3","58991","0"
"99","134","1","2","2","3","3","58992","0"
"117","76","3","1","2","3","3","58993","0"
"99","134","1","2","2","3","3","58994","0"
"99","134","1","2","2","3","3","58995","0"
"99","135","1","2","2","3","3","58996","0"
"117","77","1","2","2","3","3","58997","0"
"99","136","1","2","2","3","3","58998","0"
"99","137","1","2","2","3","3","58999","0"
"99","138","1","2","2","3","3","59000","0"
"117","78","1","2","2","3","3","59001","0"
"99","138","1","2","2","3","3","59002","0"
"99","139","1","2","2","3","3","59003","0"
"117","79","4","1","2","3","3","59004","0"
"99","140","1","2","2","3","3","59005","0"
